,type,direction,price,size,timestamp,stop_loss,pnl,reason
47,exit,,27269.17,,2023-03-20 00:00:00,,1803.1536004504114,tp_ema10
48,entry,long,28595.07,1.0322351461034003,2023-03-22 12:00:00,28000.0,,
49,exit,,26667.33,,2023-03-22 16:00:00,,-1989.8809805493668,stop_loss
50,entry,long,28580.87,0.43228259142641917,2023-03-23 12:00:00,27275.92,,
51,exit,,28018.04,,2023-03-24 12:00:00,,-243.30161093253068,tp_ema10
52,entry,short,27189.68,0.9336166102006275,2023-03-25 16:00:00,27787.33,,
53,exit,,27865.95,,2023-03-26 08:00:00,,-631.3769049803788,stop_loss
54,entry,short,26903.62,0.4134141064625935,2023-03-27 12:00:00,27996.28,,
55,exit,,27425.99,,2023-03-28 16:00:00,,-215.95512679286605,tp_ema10
56,entry,long,28353.99,0.44526689956763016,2023-03-29 08:00:00,27349.68,,
57,exit,,27986.09,,2023-03-30 16:00:00,,-163.81369235093177,tp_ema10
58,entry,long,28494.99,0.5498778328918534,2023-03-31 12:00:00,27688.0,,
59,exit,,28357.93,,2023-04-02 08:00:00,,-75.36625577615816,tp_ema10
60,entry,short,27753.85,0.9836779109991064,2023-04-03 00:00:00,28203.35,,
61,exit,,28253.73,,2023-04-03 08:00:00,,-491.7209141502343,stop_loss
62,entry,short,27800.0,0.984737832752479,2023-04-03 20:00:00,28238.53,,
63,exit,,28289.52,,2023-04-04 08:00:00,,-482.04886388899394,stop_loss
64,entry,long,28544.72,0.9047910396174008,2023-04-05 00:00:00,28078.63,,
65,exit,,28031.09,,2023-04-05 12:00:00,,-464.7278216786865,stop_loss
66,entry,short,27839.78,1.5831018807163948,2023-04-07 04:00:00,28100.0,,
67,exit,,28023.39,,2023-04-08 00:00:00,,-290.67333631833816,tp_ema10
68,entry,short,27924.13,3.0544941020346212,2023-04-08 16:00:00,28057.0,,
69,exit,,28027.71,,2023-04-09 00:00:00,,-316.3844990887403,tp_ema10
70,entry,long,28323.76,0.8929197388755371,2023-04-09 20:00:00,27876.68,,
71,exit,,29798.59,,2023-04-12 16:00:00,,1316.90481848581,tp_ema10
72,entry,long,30441.43,1.0607100813673813,2023-04-13 12:00:00,30039.0,,
73,exit,,30237.89,,2023-04-14 12:00:00,,-215.8969299615177,tp_ema10
74,entry,short,29570.81,0.9669781854962418,2023-04-17 08:00:00,30007.56,,
75,exit,,29775.62,,2023-04-18 04:00:00,,-198.04680217148302,tp_ema10
76,entry,short,29310.65,0.412045739973872,2023-04-19 08:00:00,30325.51,,
77,exit,,27816.85,,2023-04-22 20:00:00,,615.5139263729712,tp_ema10
78,entry,long,28952.32,0.6619290495857548,2023-04-26 08:00:00,28301.05,,
79,exit,,27884.24,,2023-04-26 16:00:00,,-706.9931792815518,stop_loss
80,entry,long,29673.98,0.41114942251956066,2023-04-27 16:00:00,28661.58,,
81,exit,,29146.89,,2023-04-28 12:00:00,,-216.7127491158353,tp_ema10
82,entry,long,29655.18,0.8322990147121571,2023-04-30 12:00:00,29160.53,,
83,exit,,29233.21,,2023-04-30 20:00:00,,-351.20521523808986,tp_ema10
84,entry,short,28170.64,0.8095170746553689,2023-05-01 12:00:00,28670.1,,
85,exit,,28540.68,,2023-05-02 12:00:00,,-299.5536983054734,tp_ema10
86,entry,short,28311.51,0.872071273044462,2023-05-03 12:00:00,28767.93,,
87,exit,,29026.16,,2023-05-03 20:00:00,,-623.225735281226,stop_loss
88,entry,long,29561.66,0.5054000866555278,2023-05-05 16:00:00,28800.0,,
89,exit,,28576.61,,2023-05-06 12:00:00,,-497.8443553600273,stop_loss
90,entry,short,28430.1,0.6251787091024981,2023-05-07 20:00:00,29029.11,,
91,exit,,28153.2,,2023-05-10 12:00:00,,173.11198455048034,tp_ema10
92,entry,short,27179.42,0.8389324862776175,2023-05-11 12:00:00,27630.14,,
93,exit,,26795.01,,2023-05-12 20:00:00,,322.49403704997883,tp_ema10
94,entry,long,27407.48,0.5647943079666291,2023-05-15 04:00:00,26726.0,,
95,exit,,27162.14,,2023-05-15 20:00:00,,-138.56663551653287,tp_ema10
96,entry,short,26845.14,0.9709619116119346,2023-05-17 04:00:00,27238.55,,
97,exit,,27385.09,,2023-05-17 16:00:00,,-524.2708841748648,stop_loss
98,entry,long,27176.22,1.774667226748839,2023-05-21 00:00:00,26967.18,,
99,exit,,26829.94,,2023-05-21 08:00:00,,-614.5317672785924,stop_loss
100,entry,short,26747.78,1.92978318494596,2023-05-21 20:00:00,26933.33,,
101,exit,,26877.18,,2023-05-22 12:00:00,,-249.71394413201003,tp_ema10
102,entry,long,27366.67,0.6205629610594444,2023-05-23 00:00:00,26798.11,,
103,exit,,26786.0,,2023-05-24 00:00:00,,-360.3422945983865,stop_loss
104,entry,short,26314.69,0.6584786088024505,2023-05-24 12:00:00,26839.02,,
105,exit,,26468.68,,2023-05-25 16:00:00,,-101.3991209694904,tp_ema10
106,entry,long,26854.27,1.466872039214381,2023-05-27 20:00:00,26620.35,,
107,exit,,27673.08,,2023-05-30 12:00:00,,1201.0894944291292,tp_ema10
108,entry,short,26911.54,1.151824849268428,2023-05-31 12:00:00,27231.34,,
109,exit,,27000.0,,2023-06-02 00:00:00,,-101.89042616628413,tp_ema10
110,entry,long,27305.26,1.9021133737420284,2023-06-03 12:00:00,27112.73,,
111,exit,,27096.36,,2023-06-03 16:00:00,,-397.35148377470557,stop_loss
112,entry,short,26843.58,0.5852896550557413,2023-06-05 00:00:00,27455.02,,
113,exit,,27080.13,,2023-06-06 16:00:00,,-138.45026790343516,tp_ema10
114,entry,short,26349.52,0.573926482766314,2023-06-07 12:00:00,26968.0,,
115,exit,,26721.68,,2023-06-08 12:00:00,,-213.59247982631132,tp_ema10
116,entry,short,26407.15,0.9316726274255857,2023-06-09 16:00:00,26783.33,,
117,exit,,26030.89,,2023-06-11 16:00:00,,350.55114279515277,tp_ema10
118,entry,short,25759.54,0.5311772573866377,2023-06-13 12:00:00,26433.21,,
119,exit,,25985.07,,2023-06-14 00:00:00,,-119.79640685840778,tp_ema10
120,entry,short,25128.6,0.366538537693035,2023-06-14 20:00:00,26098.0,,
121,exit,,25455.49,,2023-06-15 16:00:00,,-119.81778258647734,tp_ema10
122,entry,long,26382.43,0.29233163887188596,2023-06-16 16:00:00,25175.56,,
123,exit,,26339.97,,2023-06-18 20:00:00,,-12.412401386500022,tp_ema10
124,entry,long,26682.28,0.9430640252954496,2023-06-19 16:00:00,26308.45,,
125,exit,,30398.71,,2023-06-24 12:00:00,,3504.831435528768,tp_ema10
126,entry,long,30729.1,0.8599997673601533,2023-06-27 08:00:00,30233.58,,
127,exit,,30452.75,,2023-06-28 00:00:00,,-237.6609357099771,tp_ema10
128,entry,long,30670.94,0.794799307540039,2023-06-29 08:00:00,30141.05,,
129,exit,,30067.72,,2023-06-30 12:00:00,,-479.43883829430035,stop_loss
130,entry,long,31068.64,0.8248650389634434,2023-07-03 12:00:00,30570.27,,
131,exit,,30911.41,,2023-07-04 04:00:00,,-129.69353007622186,tp_ema10
132,entry,short,30112.0,1.9799487289047752,2023-07-08 16:00:00,30318.25,,
133,exit,,30284.63,,2023-07-08 20:00:00,,-341.79854907083336,tp_ema10
134,entry,short,30160.71,2.1223438385765068,2023-07-09 20:00:00,30349.74,,
135,exit,,30240.0,,2023-07-10 08:00:00,,-168.28064296073308,tp_ema10
136,entry,long,30837.4,0.5728298625793308,2023-07-10 16:00:00,30143.21,,
137,exit,,30404.31,,2023-07-11 08:00:00,,-248.08688518448244,tp_ema10
138,entry,long,30740.0,1.6213300463337077,2023-07-12 04:00:00,30497.95,,
139,exit,,30524.63,,2023-07-12 12:00:00,,-349.18585207888896,tp_ema10
140,entry,long,30543.99,1.3144135800587529,2023-07-13 08:00:00,30251.0,,
141,exit,,30115.17,,2023-07-14 16:00:00,,-563.6468314007988,stop_loss
142,entry,short,30188.0,2.539275179333329,2023-07-16 00:00:00,30335.0,,
143,exit,,30379.95,,2023-07-16 12:00:00,,-487.41387067303435,stop_loss
144,entry,short,29884.39,0.8570094192249125,2023-07-17 16:00:00,30308.0,,
145,exit,,30059.11,,2023-07-19 00:00:00,,-149.7366857269777,tp_ema10
146,entry,short,29810.18,0.5926315532828347,2023-07-20 12:00:00,30417.46,,
147,exit,,29901.72,,2023-07-21 20:00:00,,-54.249492387511204,tp_ema10
148,entry,short,29794.0,3.1274871444291175,2023-07-22 20:00:00,29908.71,,
149,exit,,29916.0,,2023-07-23 04:00:00,,-381.55343162035234,stop_loss
150,entry,short,29716.01,0.8204669776449336,2023-07-24 00:00:00,30143.5,,
151,exit,,29324.0,,2023-07-26 12:00:00,,321.6312599065891,tp_ema10
152,entry,short,29292.01,1.2977191982411362,2023-07-27 12:00:00,29567.49,,
153,exit,,29387.99,,2023-07-28 12:00:00,,-124.55508864718841,tp_ema10
154,entry,short,29267.16,2.5392102738257396,2023-07-29 08:00:00,29406.92,,
155,exit,,29338.02,,2023-07-29 16:00:00,,-179.9284400032934,tp_ema10
156,entry,short,29202.28,1.423076891333538,2023-07-30 16:00:00,29449.0,,
157,exit,,29421.99,,2023-07-31 00:00:00,,-312.6642237948956,tp_ema10
158,entry,short,29157.48,1.0886144330946246,2023-07-31 16:00:00,29473.97,,
159,exit,,29274.41,,2023-08-01 16:00:00,,-127.29168566175477,tp_ema10
160,entry,short,29032.06,1.1356802090599365,2023-08-04 16:00:00,29333.08,,
161,exit,,29092.68,,2023-08-06 04:00:00,,-68.84493427321219,tp_ema10
162,entry,short,29012.93,2.637458068578957,2023-08-06 12:00:00,29142.0,,
163,exit,,29088.0,,2023-08-06 16:00:00,,-197.9939772082215,tp_ema10
164,entry,short,28858.44,1.1382399275272845,2023-08-07 12:00:00,29153.86,,
165,exit,,29154.91,,2023-08-07 16:00:00,,-337.45399131401535,stop_loss
166,entry,long,29438.63,1.2321167299465428,2023-08-08 08:00:00,29171.47,,
167,exit,,29416.22,,2023-08-09 16:00:00,,-27.611735918101843,tp_ema10
168,entry,short,29396.36,5.583559203368669,2023-08-13 04:00:00,29455.21,,
169,exit,,29442.91,,2023-08-13 16:00:00,,-259.91468091680747,tp_ema10
170,entry,short,29303.84,1.8917759546805373,2023-08-13 20:00:00,29474.65,,
171,exit,,29399.91,,2023-08-14 00:00:00,,-181.74291596615868,tp_ema10
172,entry,long,29599.99,1.1942465763471257,2023-08-14 12:00:00,29332.61,,
173,exit,,29360.54,,2023-08-14 16:00:00,,-285.9623427063201,tp_ema10
174,entry,short,29332.66,1.8806268930784258,2023-08-15 12:00:00,29499.26,,
175,exit,,26189.99,,2023-08-20 20:00:00,,5910.189718070773,tp_ema10
176,entry,short,25936.61,2.4877803814272537,2023-08-22 12:00:00,26112.44,,
